title,artist,link,description
Stretching Male Nude (Circa 1953),Valerie Donaldson,https://collections.ed.ac.uk/art/record/20949?highlight=*:*,Gained her Diploma from ECA in 1953.
Standing Male Nude (1960),Thomas T Robertson,https://collections.ed.ac.uk/art/record/20806?highlight=*:*,paper (fibre product)
Wildflowers and Butterfly (Circa 1954),John P Busby,https://collections.ed.ac.uk/art/record/22627?highlight=*:*,oil paint (paint)/paint (coating)
Light Around Limbo (2016),Joseph Glover,https://collections.ed.ac.uk/art/record/99263?highlight=*:*,paper (fibre product)
Untitled (2002),Sarah Sanford,https://collections.ed.ac.uk/art/record/99954?highlight=*:*,"Screenprint and lithograph on paper. Depicting what looks like coral seabed, or membrane, overlayed with yellow and blue rectangle."
Untitled - City Highrise (Feb 1962),William Gillon,https://collections.ed.ac.uk/art/record/99482?highlight=*:*,Abstract painting in gouache of a high rise building under construction.
Untitled (1960),Elizabeth M. Hansen,https://collections.ed.ac.uk/art/record/99838?highlight=*:*,"Painting of a teapot and jug in acrylics and ink, with a powdered substance pressed into the suface of the water jug"
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50524?highlight=*:*,Semi-abstracted drawing of three figures with buildings in background
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99830?highlight=*:*,Portrait of a young man with an open skylight in the background
Abstract Composition (1962),James T Carlyle,https://collections.ed.ac.uk/art/record/21280?highlight=*:*,Possibly for an ECA examination.
Reclining Female Nude (Jan 1958),Walter Miller,https://collections.ed.ac.uk/art/record/20906?highlight=*:*,Gained his Diploma in 1958 from ECA.
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20691?highlight=*:*,"Cast from an original: Frieze from the Parthenon, Athens. London: British Museum, BM South XXXVIII, 106, 107, by Phidias"
Unknown (1947),Sheila Turnbull,https://collections.ed.ac.uk/art/record/50455?highlight=*:*,"Male figure, controposto, with right side of body in foreground"
Life Painting (Circa 1952),David Michie,https://collections.ed.ac.uk/art/record/20737?highlight=*:*,20th century
Untitled - Nude Woman in Red Reclining on a Red Couch (1963),Meriel A W de C Acton,https://collections.ed.ac.uk/art/record/99476?highlight=*:*,Print in monochromatic red of a nude woman reclining on an antique couch in a striped room.
Portrait of a Young Man (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21056?highlight=*:*,Gained his MA in 1950 and PG in 1951 from ECA.
Pylons in the Landscape (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21468?highlight=*:*,watercolour (paint)/paint (coating)
Unknown (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/50422?highlight=*:*,"Seated female figure in long dress, holding open book"
Full length portrait of man from behind with three-point hat and sabre (22 Mar 1951),Diana M. Douglas-Hamilton,https://collections.ed.ac.uk/art/record/53527?highlight=*:*,Full length portrait of reclining female nude figure from behind. Lying on left side with head at left of composition.
Untitled (1962),Carl O Ekevall,https://collections.ed.ac.uk/art/record/99497?highlight=*:*,Drawing
Seated Male Nude reading newspaper (1960),Jean Richie,https://collections.ed.ac.uk/art/record/20791?highlight=*:*,Gained her diploma in 1960 from ECA. Jean Richie is also known as Janet Richie.
Milk Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53677?highlight=*:*,ceramic (material)/clay/inorganic material/materials (substances)
Still Life with Teapot,Bull,https://collections.ed.ac.uk/art/record/20757?highlight=*:*,NA
Obstacle - Exploded Drawing (2014),Charles Myatt,https://collections.ed.ac.uk/art/record/47456?highlight=*:*,gouache (paint)/watercolour (paint)/paint (coating)
